                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1368,                0.68788,                 1.0851,                0.81727,                0.74312,                0.80416,                 0.5097,                 1.0804,                0.70589,                 1.1951,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.0875,                0.67147,                 1.0551,                0.83587,                0.77093,                0.81439,                0.54228,                0.98653,                0.66921,                 1.1317,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.1248,                0.69456,                 1.0858,                0.76831,                0.70183,                0.74498,                0.50634,                 1.0714,                0.71446,                 1.1845,               0.001208,               0.001208,               0.001208
                     62,                   1.12,                0.67096,                 1.0773,                0.75378,                0.77064,                0.79104,                 0.4953,                 1.0561,                0.69768,                   1.12,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.0912,                0.66198,                 1.0729,                0.76399,                0.77214,                0.79864,                0.51555,                 1.0274,                0.69255,                 1.1287,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.0703,                0.63397,                 1.0677,                0.80568,                 0.6789,                 0.7639,                0.50929,                  1.015,                0.72697,                 1.1211,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.0288,                0.63585,                  1.076,                0.77953,                0.69744,                0.76197,                0.51365,                 1.0447,                0.69661,                 1.1656,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.0473,                0.65359,                 1.0832,                0.81517,                0.61927,                0.72011,                0.48418,                 1.0497,                0.79258,                  1.187,               0.001142,               0.001142,               0.001142
                     67,                 1.1421,                0.68238,                 1.0867,                0.76668,                 0.7156,                0.76763,                0.48338,                 1.0677,                0.76791,                 1.1709,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.1089,                 0.6572,                 1.0678,                0.85496,                0.72477,                0.80231,                0.53168,                 1.0208,                0.66693,                 1.1372,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.0714,                0.66576,                  1.045,                0.88552,                0.70969,                0.80469,                0.53118,                 1.0021,                0.66879,                 1.1386,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.0202,                0.62212,                 1.0525,                0.78322,                0.76147,                0.79864,                0.50027,                 1.0482,                0.70238,                 1.1611,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.0704,                0.63584,                 1.0424,                0.81617,                0.75357,                0.80956,                0.51448,                 1.0338,                0.70633,                 1.1672,               0.001076,               0.001076,               0.001076
                     72,                 1.0164,                0.63178,                 1.0243,                0.86201,                0.74502,                0.83372,                0.55112,                0.99364,                0.60009,                  1.146,              0.0010628,              0.0010628,              0.0010628
                     73,                 0.9662,                0.58776,                 1.0242,                0.87069,                0.75229,                0.82265,                 0.5478,                0.97035,                0.62678,                  1.114,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.0068,                0.59913,                 1.0393,                0.87509,                0.74312,                0.80212,                0.52442,                  1.008,                0.67943,                 1.1182,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.0204,                0.59671,                 1.0394,                 0.8503,                0.75563,                0.81729,                 0.5426,                0.99299,                0.63086,                 1.1213,              0.0010232,              0.0010232,              0.0010232
                     76,                  1.059,                0.63328,                 1.0319,                0.82473,                0.79861,                0.83213,                0.57378,                0.93628,                0.60356,                 1.0821,                0.00101,                0.00101,                0.00101
                     77,                  1.028,                 0.6088,                 1.0381,                0.85665,                0.77523,                0.83537,                 0.5623,                0.99786,                0.61389,                 1.1316,              0.0009968,              0.0009968,              0.0009968
                     78,                0.98995,                0.61172,                 1.0587,                0.90074,                 0.7493,                0.84017,                0.56319,                 0.9825,                0.59404,                 1.1392,              0.0009836,              0.0009836,              0.0009836
                     79,                0.96507,                0.58486,                 1.0166,                0.83673,                0.79817,                0.84585,                 0.5569,                0.96285,                0.59902,                 1.1013,              0.0009704,              0.0009704,              0.0009704
                     80,                0.97533,                0.56911,                  1.041,                0.83303,                0.75229,                0.81634,                0.54439,                0.97317,                0.63973,                 1.1023,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.0255,                0.60216,                 1.0181,                0.82435,                0.74771,                0.81349,                 0.5423,                0.98235,                0.62452,                 1.1048,               0.000944,               0.000944,               0.000944
                     82,                 1.0201,                 0.5934,                0.99432,                0.85484,                0.75641,                0.83249,                0.52906,                0.98861,                0.61927,                 1.1185,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.0452,                0.62812,                 1.0426,                0.85314,                0.75688,                0.81734,                0.55431,                0.97613,                0.62926,                 1.1206,              0.0009176,              0.0009176,              0.0009176
                     84,                0.99882,                0.57567,                0.99771,                0.88183,                0.76606,                0.83299,                0.55722,                0.96418,                0.61549,                 1.1107,              0.0009044,              0.0009044,              0.0009044
                     85,                0.98169,                0.57932,                 1.0139,                0.84383,                0.76147,                0.82055,                0.54868,                0.99801,                0.61031,                 1.1388,              0.0008912,              0.0008912,              0.0008912
                     86,                0.98363,                0.58455,                 1.0236,                0.80905,                 0.7844,                 0.8051,                0.55231,                  0.928,                0.61405,                 1.1038,               0.000878,               0.000878,               0.000878
                     87,                0.99742,                0.57044,                 1.0031,                0.79331,                0.76606,                0.80155,                0.55066,                0.95975,                0.63476,                 1.1462,              0.0008648,              0.0008648,              0.0008648
                     88,                  1.016,                0.58708,                 1.0072,                 0.8592,                0.75688,                0.82051,                0.53484,                 1.0041,                0.63921,                 1.1589,              0.0008516,              0.0008516,              0.0008516
                     89,                0.95738,                0.55817,                 1.0094,                0.83879,                0.76375,                0.81372,                0.55639,                0.96364,                0.63891,                 1.1495,              0.0008384,              0.0008384,              0.0008384
                     90,                  0.914,                0.53321,                 1.0178,                 0.8285,                0.77558,                0.79839,                0.53684,                 0.9675,                0.62995,                 1.0932,              0.0008252,              0.0008252,              0.0008252
                     91,                0.97746,                0.56518,                 1.0007,                0.81771,                0.79358,                 0.8249,                0.54959,                0.96236,                0.65533,                 1.0998,               0.000812,               0.000812,               0.000812
                     92,                0.97116,                0.56797,                 1.0245,                0.80372,                 0.7701,                0.82042,                0.53761,                0.98811,                0.66231,                 1.1104,              0.0007988,              0.0007988,              0.0007988
                     93,                0.97805,                0.57023,                 1.0128,                0.80798,                0.75688,                0.81696,                  0.537,                0.95769,                0.63323,                 1.1016,              0.0007856,              0.0007856,              0.0007856
                     94,                0.93728,                0.55519,                 1.0078,                0.85595,                0.75229,                0.82824,                0.56074,                0.96768,                0.60031,                 1.1229,              0.0007724,              0.0007724,              0.0007724
                     95,                0.92222,                0.53967,                 1.0075,                0.83648,                0.75688,                0.81513,                0.54387,                0.96688,                0.61268,                 1.1062,              0.0007592,              0.0007592,              0.0007592
                     96,                0.95839,                0.55278,                 0.9985,                0.81061,                0.78535,                0.80843,                0.55167,                0.95243,                 0.6303,                 1.1005,               0.000746,               0.000746,               0.000746
                     97,                0.97457,                0.55792,                 1.0181,                0.85492,                0.75689,                0.81218,                  0.545,                  0.958,                0.65771,                 1.1092,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.0299,                0.55459,                0.99623,                0.88187,                0.73853,                0.79413,                0.55321,                0.94772,                0.64762,                 1.1085,              0.0007196,              0.0007196,              0.0007196
                     99,                0.93816,                 0.5562,                0.98409,                0.85378,                0.73853,                0.80146,                0.54691,                0.96619,                0.64246,                 1.1218,              0.0007064,              0.0007064,              0.0007064
                    100,                0.95825,                0.54761,                 1.0105,                0.85119,                0.76147,                0.81061,                0.54728,                0.97664,                0.63442,                 1.1203,              0.0006932,              0.0006932,              0.0006932
                    101,                0.93684,                0.53482,                0.99782,                0.87446,                0.77064,                0.82023,                0.54411,                  1.002,                0.60351,                 1.1207,                0.00068,                0.00068,                0.00068
                    102,                0.97732,                0.55231,                0.99378,                0.84898,                0.74312,                0.80854,                0.54028,                0.98562,                0.59698,                  1.148,              0.0006668,              0.0006668,              0.0006668
                    103,                0.89137,                 0.5249,                0.98412,                0.88284,                0.76047,                0.83042,                0.53894,                0.99423,                0.63223,                 1.1383,              0.0006536,              0.0006536,              0.0006536
                    104,                0.90125,                0.53096,                0.98728,                0.89353,                0.73394,                0.82423,                0.56005,                0.97005,                0.61193,                 1.1168,              0.0006404,              0.0006404,              0.0006404
                    105,                 0.8869,                0.51885,                 1.0045,                0.79371,                 0.7844,                0.81052,                0.55495,                0.97002,                0.60632,                 1.1254,              0.0006272,              0.0006272,              0.0006272
                    106,                 1.0063,                0.55451,                0.99339,                0.88068,                0.75688,                0.82639,                0.55044,                0.98607,                0.58715,                 1.1267,               0.000614,               0.000614,               0.000614
                    107,                0.90979,                0.53606,                0.97781,                0.88289,                 0.7608,                0.83446,                0.56431,                 0.9656,                0.58767,                  1.114,              0.0006008,              0.0006008,              0.0006008
                    108,                 0.9169,                0.51973,                0.97867,                0.88851,                0.76767,                0.83428,                0.56104,                0.95969,                0.56524,                 1.1192,              0.0005876,              0.0005876,              0.0005876
                    109,                0.90549,                0.53004,                 1.0067,                0.88854,                0.75688,                 0.8379,                0.56331,                0.95852,                0.60142,                 1.1105,              0.0005744,              0.0005744,              0.0005744
                    110,                0.89587,                0.52064,                0.99815,                0.87365,                0.77982,                0.83613,                0.56066,                0.94839,                0.60205,                 1.0968,              0.0005612,              0.0005612,              0.0005612
                    111,                0.91376,                0.52158,                0.99249,                0.87401,                0.76376,                0.82508,                0.55682,                0.96281,                0.58942,                 1.1141,               0.000548,               0.000548,               0.000548
